"Diametro.roccia.1..cm.";"Diametro.roccia.2..cm.";"Diametro.roccia.3..cm.";"alt_m";"aspect_deg";"slope_degr";"n_species";"dominant";"Cop_Veg_2018_ottavi";"Cop_Veg_2015_ottavi";"MDR";"IQR";"Esp.tr"
59;96;102;2782,206;234;13;23;"Graminacee";5;3,6;96;21,5;-126
176;42;76;2781,136;294;16;16;"Graminacee";2;2,8;76;67;-66
51;88;62;2781,067;310;0;13;"Graminacee";2;2;62;18,5;-50
99;30;36;2781,087;293;8;23;"Graminacee";5;4;36;34,5;-67
164;41;47;2781,887;294;11;21;"Graminacee";2;2;47;61,5;-66
130;31;36;2782,237;310;7;20;"Graminacee";4;4,4;36;49,5;-50
116;38;56;2782,438;332;0;22;"Graminacee";2;3,6;56;39;-28
97;94;55;2782,768;19;6;24;"Graminacee";2;2;94;21;19
97;48;157;2783,368;4;0;8;"Graminacee";3;0,8;97;54,5;4
58;34;41;2784,308;343;0;20;"Graminacee";3;2,8;41;12;-17
151;36;55;2788,967;328;0;7;"Oxyria digyna";0;0,4;55;57,5;-32
82;65;90;2788,297;320;18;14;"Graminacee";1;2,4;82;12,5;-40
142;58;31;2788,767;301;22;10;"Muschio";0;0,4;58;55,5;-59
270;37;35;2788,457;317;10;21;"Graminacee";4;4;37;117,5;-43
94;36;45;2790,556;332;9;15;"Graminacee";7;0,8;45;29;-28
120;50;22;2788,876;329;14;9;"Graminacee";4;1,6;50;49;-31
110;63;51;2788,526;0;10;21;"Salix herbacea";2;4,4;63;29,5;0
67;64;105;2785,836;345;12;11;"Graminacee";5;0,4;67;20,5;-15
51;105;66;2784,286;325;0;24;"Graminacee";3;4,4;66;27;-35
98;53;16;2783,886;275;5;29;"Graminacee";2;3,6;53;41;-85
75;81;70;2782,476;292;13;26;"Graminacee";1;3,6;75;5,5;-68
88;137;68;2781,475;300;10;14;"Graminacee";5;2;88;34,5;-60
51;176;39;2779,905;293;14;16;"Muschio";2;1,6;51;68,5;-67
301;168;34;2777,925;322;10;17;"Graminacee";3;0,8;168;133,5;-38
212;308;52;2778,035;315;11;29;"Graminacee";2;4,8;212;128;-45
63;52;40;2777,935;342;11;21;"Graminacee";5;3,2;52;11,5;-18
80;105;172;2778,374;325;0;24;"Graminacee";2;2,8;105;46;-35
117;66;91;2778,965;340;20;26;"Alchemilla alpina";3;3,6;91;25,5;-20
93;80;64;2780,335;314;14;22;"Graminacee";3;3,6;80;14,5;-46
295;61;56;2781,125;12;2;27;"Graminacee";4;2,8;61;119,5;12
440;44;56;2780,575;62;20;15;"Graminacee";1;1,2;56;198;62
104;147;37;2783,285;34;19;7;"Muschio";0;0,4;104;55;34
105;89;74;2785,225;58;25;19;"Saxifraga";0;3,2;89;15,5;58
124;61;56;2785,966;38;21;17;"Muschio";1;0,8;61;34;38
64;205;217;2787,826;358;26;5;"Muschio";3;0,4;205;76,5;-2
84;104;57;2789,296;343;18;12;"Silene acaulis";0;0,4;84;23,5;-17
126;39;54;2791,196;320;15;2;"Muschio";2;0;54;43,5;-40
60;93;292;2791,986;351;13;2;"Muschio";0;0;93;116;-9
60;67;81;2793,246;343;20;15;"Muschio";0;2;67;10,5;-17
145;88;52;2793,356;324;24;13;"Muschio";2;0,8;88;46,5;-36
140;52;84;2795,176;328;21;32;"Graminacee";0;4,8;84;44;-32
108;42;67;2796,527;320;23;0;"Altro";4;0;67;33;-40
216;44;68;2797,937;332;20;4;"Saxifraga";2;0;68;86;-28
108;78;57;2799,537;308;18;17;"Graminacee";4;2,8;78;25,5;-52
67;45;25;2801,577;343;7;20;"Salix herbacea";2;5,6;45;21;-17
192;31;86;2803,487;308;12;21;"Graminacee";2;2;86;80,5;-52
187;35;105;2803,747;318;0;14;"Graminacee";5;1,6;105;76;-42
37;37;79;2800,776;348;8;25;"Graminacee";1;4,8;37;21;-12
68;53;68;2798,356;349;20;13;"Graminacee";5;0,8;68;7,5;-11
42;48;214;2795,546;328;18;17;"Graminacee";6;4;48;86;-32
73;70;41;2794,186;350;10;25;"Graminacee";NA;2;70;16;-10
227;58;60;2791,945;316;8;23;"Graminacee";NA;6;60;84,5;-44
64;28;8;2792,666;2;2;28;"Sibbaldia procumbens";NA;6,4;28;28;2
90;35;21;2802;252;6;14;"Salix herbacea";NA;3,6;35;34,5;-108
66;154;25;2802;259;9;9;"Muschio";NA;0,4;66;64,5;-101
97;91;23;2801,786;56;9;16;"Sibbaldia procumbens";NA;2;91;37;56
80;45;57;2801,066;352;11;14;"Graminacee";NA;2,32;57;17,5;-8
203;53;40;2803,986;350;8;11;"Graminacee";NA;0,8;53;81,5;-10
89;47;29;2798,878;350;5;14;"Silene acaulis";NA;2;47;30;-10
101;104;128;2795,538;2;22;8;"Muschio";NA;0,4;104;13,5;2
53;33;40;2792,668;20;27;4;"Muschio";NA;0;40;10;20
30;60;62;2789,858;18;30;12;"Salix herbacea";NA;2;60;16;18
38;102;252;2789,288;323;30;14;"Muschio";NA;0,8;102;107;-37
131;97;43;2786,598;12;18;7;"Muschio";NA;0;97;44;12
292;99;67;2787,358;13;7;2;"Muschio";NA;0,4;99;112,5;13
139;75;21;2788,498;11;29;14;"Silene acaulis";NA;1,2;75;59;11
77;83;40;2792,428;19;38;13;"Graminacee";NA;0,8;77;21,5;19
71;127;58;2794,777;13;17;10;"Salix herbacea";NA;1,2;71;34,5;13
97;75;66;2792,266;12;11;8;"Graminacee";NA;0,4;75;15,5;12
207;73;96;2792,857;358;2;2;"Oxyria digyna";NA;0;96;67;-2
71;114;41;NA;43;20;7;"Saxifraga";NA;0,4;71;36,5;43
36;53;250;NA;19;12;11;"Cerastium ped.";NA;1,2;53;107;19
35;87;277;NA;19;20;12;"Oxyria digyna";NA;3,2;87;121;19
46;40;247;NA;30;10;12;"Saxifraga";NA;2;46;103,5;30
37;48;167;NA;26;20;3;"Muschio";NA;0;48;65;26
